2026/06/03 09:26:59 [notice] 1#1: using the "epoll" event method
2026/06/03 09:26:59 [notice] 1#1: nginx/1.31.1
2026/06/03 09:26:59 [notice] 1#1: built by gcc 14.2.0 (Debian 14.2.0-19) 
2026/06/03 09:26:59 [notice] 1#1: OS: Linux 6.17.0-23-generic
2026/06/03 09:26:59 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
2026/06/03 09:26:59 [notice] 1#1: start worker processes
2026/06/03 09:26:59 [notice] 1#1: start worker process 29
2026/06/03 09:26:59 [notice] 1#1: start worker process 30
2026/06/03 09:26:59 [notice] 1#1: start worker process 31
2026/06/03 09:26:59 [notice] 1#1: start worker process 32
2026/06/03 09:26:59 [notice] 1#1: start worker process 33
2026/06/03 09:26:59 [notice] 1#1: start worker process 34
2026/06/03 09:26:59 [notice] 1#1: start worker process 35
2026/06/03 09:26:59 [notice] 1#1: start worker process 36
2026/06/03 09:26:59 [notice] 1#1: start worker process 37
2026/06/03 09:26:59 [notice] 1#1: start worker process 38
2026/06/03 09:26:59 [notice] 1#1: start worker process 39
2026/06/03 09:26:59 [notice] 1#1: start worker process 40
